Smolenka Estate,real_estate_agent,Москва,sale,flat,5,5,215.0,71000000.0,Лианозово,Угличская ,15К1,Лианозово,
Sminex,developer,Москва,sale,flat,8,5,459.4,2147483647.0,Якиманка,,,Полянка,Лаврушинский ЖК
Intermark Real Estate,real_estate_agent,Москва,sale,flat,7,5,242.0,200000000.0,Пресненский,Никитский бульвар,12,Арбатская,
Абсолют Банк,real_estate_agent,Москва,sale,flat,5,5,89.2,8030000.0,,,,,
Имена,developer,Москва,sale,flat,14,5,158.27,144342240.0,Дорогомилово,1-й Можайский тупик,8АС1,Киевская,D'ORO MILLE
NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,4,5,192.1,112000000.0,Крылатское,Островной проезд,9К1,Молодёжная,Остров Фантазий
Apple Real Estate,real_estate_agent,Москва,sale,flat,14,5,166.3,75000000.0,Аэропорт,Петровско-Разумовская аллея,10К3,Петровский Парк,
Regions Development,developer,Москва,sale,flat,24,5,162.2,76617580.0,Нагатинский затон,проспект Андропова,9/1,Технопарк,Dream Towers
NF Group - ex-Knight Frank,real_estate_agent,Москва,sale,flat,4,5,396.0,997920000.0,Таганский, Солянка,7,Китай-город,Дом с Атлантами
Андрей Парамзин,realtor,Москва,sale,flat,7,5,122.0,33000000.0,Южнопортовый,Велозаводская ,3/2,Дубровка,
Hutton Development,developer,Москва,sale,flat,6,5,239.3,502530000.0,Якиманка,Софийская набережная,34С3,Новокузнецкая,Клубный дом DUO
Intermark Real Estate,real_estate_agent,Москва,sale,flat,7,5,271.7,294000000.0,Хамовники,Смоленский бульвар,24к3,Смоленская,Клубный дом на Смоленском бульваре
Contact Real Estate,real_estate_agent,Москва,sale,flat,7,5,265.0,450000000.0,Таганский,Котельническая набережная,21,Таганская,Симфония набережных
Донстрой,developer,Москва,sale,flat,22,5,144.8,89862880.0,Хорошево-Мневники,Жилой комплекс остров,7,Терехово ,Остров
Kalinka Group,real_estate_agent,Москва,sale,flat,6,5,225.0,620000000.0,Пресненский,Большой Козихинский переулок,15,Пушкинская,Дом Бакст на Патриарших
FS PROPERTY,real_estate_agent,Москва,sale,flat,8,5,206.5,631337399.0,Арбат,Большой Афанасьевский переулок,28,Арбатская,
Киноцентр,developer,Москва,sale,flat,20,5,216.0,220320000.0,Пресненский, Красная Пресня,3,Краснопресненская,SkyView
Kalinka Group,real_estate_agent,Москва,sale,flat,37,5,216.4,130000000.0,Тропарево-Никулино,проспект Вернадского,94к1,Тропарёво,Миракс Парк
Владис,real_estate_agent,Москва,sale,flat,3,5,208.0,19900000.0,, Лесная,60,Силикатная,
Tekta Group,developer,Москва,sale,flat,27,5,144.5,81165650.0,Даниловский,,1,Крестьянская застава,Эра ЖК
